"Product ID";"Active (0/1)";Name;Category;"Image URL";Price;Quantity
116;1;"Świeca zapłonowa DENSO MA20P-U";Świece;https://media1mi.pl/p/1/238/176/photo-e7cfe3e7-2eb9-4ca0-961d-943ef2c5f161-150x150.jpg;9,48;1
117;1;"Świeca zapłonowa NGK 94290";Świece;https://media2mi.pl/p/2/337/9/photo-8e19164f-0675-445c-8c75-8e4d1739e4e1-150x150.jpg;73,45;5
118;1;"Świeca zapłonowa DENSO PQ20R";Świece;https://media1mi.pl/p/1/206/336/photo-2d65cebd-22b7-43cd-8cf0-82687f0d62ac-150x150.jpg;26,83;3
119;1;"Świeca zapłonowa NGK 4998";Świece;https://media2mi.pl/p/2/489/35/photo-596f9eae-030d-4589-90b0-b64463acdd2e-150x150.jpg;91,78;3
120;1;"Świeca zapłonowa NGK 7226";Świece;https://media1mi.pl/p/1/231/432/photo-0b22f72f-244d-4c91-93a6-da3072f07a34-150x150.jpg;15,26;2
121;1;"Świeca zapłonowa BOSCH 0 242 240 635";Świece;https://media1mi.pl/p/1/22/266/photo-b164da7b-53ad-4f58-b647-07dc5480999d-150x150.jpg;38,27;1
122;1;"Świeca zapłonowa NGK 6903";Świece;https://media2mi.pl/p/2/431/129/photo-2423b295-94e8-4ae9-8ebe-94210ae34ed4-150x150.jpg;88,28;4
123;1;"Świeca zapłonowa NGK 7626";Świece;https://media2mi.pl/p/2/273/143/photo-dcf04437-5361-4009-8376-59af65dd7f1e-150x150.jpg
124;1;"Świeca zapłonowa BOSCH 0 241 255 507";Świece;https://media1mi.pl/p/1/10/409/photo-0045f4b5-8135-4e06-a5da-f6e4a8e44840-150x150.jpg;39,75;1
125;1;"Zestaw świec zapłonowych BOSCH 0 242 235 917, 4 sztuki";Świece;https://media2mi.pl/p/2/409/488/photo-c5cce82b-9a34-4be3-9a70-20894dcf6bbb-150x150.jpg;141,63;2
126;1;"Świeca zapłonowa NGK 6544";Świece;https://media2mi.pl/p/2/468/193/photo-927b5118-7a6b-4d25-a0db-a192a5e2e57a-150x150.jpg;118,41;2
